Energy Term,rho,p-value1,r,p-value2,r2,MSE,RMSE,SD
v_Elec_Tanh_-17.834875_76.3_7.7839_0.003627,-0.06302251657195944,0.5397022164020246,-0.06848819746411354,0.5050471867712397,0.004690633191883408,56.15669541424711,7.493777112661352,1.0804019283291246
v_Elec_Tanh_-17.834875_78.4_3.4781_0.001787,-0.08239939255918577,0.4223302053352185,-0.13645041843591918,0.1826296906913896,0.018618716691337432,58.6508873131553,7.65838673045148,1.6778971070330615
v_Elec_Tanh_-17.834875_78.4_3.4781_0.002247,-0.04657814370326141,0.6505195289065663,0.129586580883357,0.20584397164370147,0.01679268194503883,53.832223533867754,7.337044604871076,1.0581540458114764
v_Elec_Tanh_-17.834875_78.4_3.4781_0.002707,-0.024893400911991492,0.8087563414490982,-0.028466443737671702,0.7819463268520115,0.0008103384190700285,55.69139400666996,7.462666682002483,0.8483260228556715
v_Elec_Tanh_-17.834875_78.4_3.4781_0.003167,0.041265447470591285,0.6881846245519806,0.08488586021282703,0.4084160241968918,0.007205609264071611,55.95542314122744,7.480335763936499,0.9930428413899226
v_Elec_Tanh_-17.834875_78.4_3.4781_0.003627,-0.104031534397657,0.3105522122477707,-0.05987973026655425,0.5601458719627213,0.003585582096795293,56.41009097328456,7.5106651485260985,0.37618912629154233
v_Elec_Tanh_-17.834875_78.4_4.55455_0.001787,0.021553240409273134,0.8340210379368623,0.15016008404914546,0.14208492911244827,0.02254805084164643,58.72260373679663,7.663067514826985,1.7113064692498459
v_Elec_Tanh_-17.834875_78.4_4.55455_0.002247,-0.10675363370499044,0.2979920966224702,0.12490445405503167,0.22284456080859097,0.015601122642785518,56.316023105105344,7.504400249527296,1.2730811205183197
v_Elec_Tanh_-17.834875_78.4_4.55455_0.002707,0.026261025684758056,0.7984665295800893,0.059141104182239855,0.5650036400786509,0.0034976702038945484,66.66971898230119,8.165152722533804,2.609045988515274
v_Elec_Tanh_-17.834875_78.4_4.55455_0.003167,-0.031994529539817906,0.7557213622422512,0.005493842961821897,0.9574076004100495,3.0182310489159994e-05,56.33941593444762,7.505958695226588,1.3452275343906757
v_Elec_Tanh_-17.834875_78.4_4.55455_0.003627,-0.10504410273903222,0.3058405095433005,-0.22621244952835065,0.025879331538289783,0.051172072321616593,56.48586888244749,7.515708142447223,1.0181238325380098
v_Elec_Tanh_-17.834875_78.4_5.631_0.001787,-0.21189636323052025,0.03719604382694137,-0.16975122597996944,0.09645870974345595,0.028815478721702655,59.62992439651336,7.7220414656043745,1.487193014402292
v_Elec_Tanh_-17.834875_78.4_5.631_0.002247,0.09280780609423134,0.3659132846292864,-0.07184576496522657,0.48434572316529434,0.005161813943438578,121.19396113357918,11.008812884847266,6.851232414491467
v_Elec_Tanh_-17.834875_78.4_5.631_0.002707,-0.1053728586940242,0.3043208202620844,-0.009756058370464171,0.9244398102401884,9.518067492790402e-05,56.84480369509945,7.539549303181156,1.2644709845661433
v_Elec_Tanh_-17.834875_78.4_5.631_0.003167,-0.009021063404979483,0.9301173780011647,-0.029630677725115268,0.7732637364521462,0.0008779770624496421,59.695740226626924,7.726301846719873,3.399398727406375
v_Elec_Tanh_-17.834875_78.4_5.631_0.003627,0.20960164666467637,0.03934852094540603,-0.014991598540305235,0.8841233188325419,0.00022474802679368203,55.362583224257754,7.440603686815859,1.1760585361450873
v_Elec_Tanh_-17.834875_78.4_6.70745_0.001787,0.09268287883133439,0.36656170425703716,0.05026563765741767,0.6248766601415902,0.0025266343291068054,65.3885945768431,8.086321449017662,2.275578536209245
v_Elec_Tanh_-17.834875_78.4_6.70745_0.002247,-0.017660769902168288,0.8636758167067742,-0.08685790637455229,0.39757408642910297,0.007544295899770491,68.16403758961559,8.256151499919051,2.4826452221763016
v_Elec_Tanh_-17.834875_78.4_6.70745_0.002707,-0.12483521122954844,0.2231031841951292,0.05549320524019317,0.5892827137769271,0.0030794958278302026,56.64894500908823,7.5265493427657955,0.4437707929053566
v_Elec_Tanh_-17.834875_78.4_6.70745_0.003167,0.13753176621133809,0.17915401120945523,0.011665982674824072,0.9097047438700563,0.0001360951517692954,64.84424197844685,8.052592252091673,2.341122001071476
v_Elec_Tanh_-17.834875_78.4_6.70745_0.003627,0.08316868149386697,0.417996359118433,0.052933207837431946,0.6065987860063968,0.0028019244919607667,56.75275701890706,7.533442574209155,0.39502048744609997
v_Elec_Tanh_-17.834875_78.4_7.7839_0.001787,-0.04662416953696028,0.6501968602275234,0.06465425487387418,0.5292348289527581,0.004180172673295883,60.98932369032105,7.809566165307843,1.6958654625202967
v_Elec_Tanh_-17.834875_78.4_7.7839_0.002247,-0.15046502548072194,0.1412676583609016,-0.17695646553938527,0.08292915483880701,0.03131359069619165,68.48650005667895,8.275657077034968,2.38601633140844
v_Elec_Tanh_-17.834875_78.4_7.7839_0.002707,0.042731699029855436,0.6777082267970393,0.06709012273583562,0.5138004803744365,0.004501084568709487,57.458371596246714,7.580130051407213,0.4195380049188776
v_Elec_Tanh_-17.834875_78.4_7.7839_0.003167,0.03606452826261842,0.7258104864460011,0.035330424533735125,0.7311766626073213,0.0012482388977339528,65.76883072479399,8.109798439221162,2.4929017651022978
v_Elec_Tanh_-17.834875_78.4_7.7839_0.003627,-0.037780634347676464,0.7133179954406986,-0.0699310271936725,0.4960954416054306,0.004890348564362163,57.36931917889329,7.574253704418231,0.8173419558235501
v_Elec_Tanh_-14.74075_70.0_3.4781_0.001787,0.1639045689207934,0.10866665143949097,0.11582078141271858,0.25859359948623994,0.013414453407052737,60.3327729654045,7.76741739353593,1.4469111144685125
v_Elec_Tanh_-14.74075_70.0_3.4781_0.002247,0.04378371808582972,0.6702289989995684,0.28925751953184087,0.004057920799177206,0.0836699126057133,58.238545160615445,7.631418292861127,1.3982735519638994
v_Elec_Tanh_-14.74075_70.0_3.4781_0.002707,-0.09962620460076467,0.3315968525031777,0.010184107505339905,0.9211350130007616,0.00010371604568032058,56.99804218146665,7.549704774457519,1.6551796043741378
v_Elec_Tanh_-14.74075_70.0_3.4781_0.003167,0.046841148467254984,0.6486765778991266,0.05069054408523727,0.6219496140290699,0.0025695312596573836,55.86737669740362,7.474448253711014,0.22883858458747985
v_Elec_Tanh_-14.74075_70.0_3.4781_0.003627,0.00551652492476515,0.9572319182794004,0.12213182390752306,0.23336604028483915,0.01491618241097822,56.69249696050002,7.529442008575405,0.14900476088542508
v_Elec_Tanh_-14.74075_70.0_4.55455_0.001787,-0.11239508589265254,0.2730392618823044,-0.03302107221703443,0.7481411347433646,0.0010903912103626032,726.0358907950174,26.94505317855241,26.401066673466755
v_Elec_Tanh_-14.74075_70.0_4.55455_0.002247,0.011960141642607638,0.9074378947248134,-0.019722223251547533,0.847944361588769,0.00038896608998388214,58.31882934245979,7.636676590144419,2.461074186791402
v_Elec_Tanh_-14.74075_70.0_4.55455_0.002707,0.02857546760790148,0.7811320977404957,-0.020049736917800442,0.8454503375100773,0.00040199195047300996,59.94548792913293,7.742447153783675,1.406025894331528
v_Elec_Tanh_-14.74075_70.0_4.55455_0.003167,0.009672000195863572,0.925088942569104,-0.03891672618618808,0.7050889406087109,0.001514511577050737,165.6813887448931,12.871728273425177,11.272840984948274
v_Elec_Tanh_-14.74075_70.0_4.55455_0.003627,0.1013554609240224,0.3232302896200959,0.02421967916922462,0.8138374362152928,0.0005865928590601731,56.24810552802836,7.499873700805125,0.3433873919827376
v_Elec_Tanh_-14.74075_70.0_5.631_0.001787,-0.09026323500259355,0.37925930805650243,-0.0610292851567051,0.5526253925904269,0.003724573646738426,63.00326925719816,7.937459874367754,3.8564755784453326
v_Elec_Tanh_-14.74075_70.0_5.631_0.002247,0.10320964451017707,0.31441112647576386,0.11664389953565316,0.255201783454488,0.013605799298883546,55.83385638183867,7.472205590174743,1.6159981994940988
v_Elec_Tanh_-14.74075_70.0_5.631_0.002707,0.01983055920511525,0.8471192137003078,0.11569860946638148,0.2590996406960427,0.01338616823245426,85.50453370308568,9.246866155789522,5.435233453534719
v_Elec_Tanh_-14.74075_70.0_5.631_0.003167,-0.014005003682657653,0.8917012535542874,0.08670897348613914,0.3983868801900129,0.00751844608301998,55.30925855122132,7.437019466911548,0.6280209837851437
v_Elec_Tanh_-14.74075_70.0_5.631_0.003627,-0.011381531161821782,0.9118974738088772,-0.06591688944304051,0.52120553905728,0.004345036313846026,56.47002924968174,7.514654300078064,0.6292043556976343
